OBJECTID,access_id,station_id,access_point_name,location_type,x,y
136,"geom:37.50179,-121.94013",mtc:warm-springs-south-fremont-bart,Pedestrian Access Point,2,-121.94013,37.50179
137,"geom:37.50218,-121.93860",mtc:warm-springs-south-fremont-bart,Pedestrian Access Point,2,-121.9386,37.50218
138,"geom:37.55767,-121.97650",902909,Pedestrian Access Point,2,-121.9765,37.55767
139,"geom:37.55759,-121.97639",902909,Pedestrian Access Point,2,-121.97639,37.55759
140,UCTY_1,mtc:union-city-bart,Pedestrian Access Point,2,-122.01712,37.59084
141,"geom:37.59057,-122.01747",mtc:union-city-bart,Pedestrian Access Point,2,-122.01747,37.59057
142,"geom:37.59050,-122.01735",mtc:union-city-bart,Pedestrian Access Point,2,-122.01735,37.5905
143,"geom:37.59064,-122.01753",mtc:union-city-bart,Pedestrian Access Point,2,-122.01753,37.59064
144,"geom:37.66992,-122.08713",902609,Pedestrian Access Point,2,-122.08713,37.66992
145,"geom:37.66980,-122.08728",902609,Pedestrian Access Point,2,-122.08728,37.6698
146,BAYF_1,902509,Pedestrian Access Point,2,-122.12641,37.69708
147,"geom:37.69694,-122.12632",902509,Pedestrian Access Point,2,-122.12632,37.69694
148,"geom:37.69708,-122.12646",902509,East Entrance / Exit,2,-122.12646,37.69708
149,"geom:37.72162,-122.16050",902409,Pedestrian Access Point,2,-122.1605,37.72162
150,"geom:37.72153,-122.16070",902409,Pedestrian Access Point,2,-122.1607,37.72153
151,"geom:37.75380,-122.19716",mtc:oakland-coliseum-bart,San Leandro Street Entrance / Exit,2,-122.19716,37.7538
152,mtc:BA-FTVL_2-1643433662776,mtc:fruitvale,Enter/Exit : Station entrance,2,-122.22445,37.77508
153,mtc:BA-FTVL_3-1643433667504,mtc:fruitvale,Enter/Exit : Station entrance,2,-122.22448,37.77505
154,mtc:1643435575867,mtc:fruitvale,Southbound Elevator (Ground Level),2,-122.22435,37.77487
155,mtc:1643701439649,mtc:fruitvale,Northbound Elevator (Platform Level),2,-122.2242,37.77504
156,51333,mtc:fruitvale,Pedestrian Access Point,2,-122.2246,37.77502
157,"geom:37.77480,-122.22383",mtc:fruitvale,Pedestrian Access Point,2,-122.22383,37.7748
158,"geom:37.77465,-122.22394",mtc:fruitvale,Pedestrian Access Point,2,-122.22394,37.77465
159,"geom:37.77506,-122.22460",mtc:fruitvale,Pedestrian Access Point,2,-122.2246,37.77506
160,"geom:37.84461,-122.25191",903109,Pedestrian Access Point,2,-122.25191,37.84461
161,"geom:37.85335,-122.26978",904109,TDB Pedestrian Access Point,2,-122.26978,37.85335
162,"geom:37.85274,-122.27000",904109,Adeline Street West Entrance / Exit,2,-122.27,37.85274
163,"geom:37.85312,-122.26995",904109,TDB Pedestrian Access Point,2,-122.26995,37.85312
164,"geom:37.85317,-122.26993",904109,TDB Pedestrian Access Point,2,-122.26993,37.85317
165,"geom:37.85342,-122.26983",904109,TDB Pedestrian Access Point,2,-122.26983,37.85342
166,"geom:37.87403,-122.28328",904309,North Entrance / Exit,2,-122.28328,37.87403
167,WDUB_1,905209,Pedestrian Access Point,2,-121.92783,37.70051
168,WDUB_2,905209,Pedestrian Access Point,2,-121.92791,37.69926
169,"geom:37.66425,-122.44374",906209,Pedestrian Access Point,2,-122.44374,37.66425
170,"geom:37.66437,-122.44392",906209,Pedestrian Access Point,2,-122.44392,37.66437
171,mtc:1590601891345,mtc:millbrae-bart,West Plaza Elevator (Concourse Level),2,-122.38707,37.60003
172,mtc:1590617125452,mtc:millbrae-bart,East Plaza Elevator (Ground Level),2,-122.38642,37.60034
173,"geom:37.33179,-121.90173",Future_BART_Station_Diridon,Future_BART_Station_Diridon,2,-121.90173,37.33179
