pop_23,white_23,B19001_001E_x,hinc_23,mhval_23,mhval_23_se,mrent_23,mrent_23_se,total_25_23,total_25_col_bd_23,total_25_col_md_23,total_25_col_pd_23,state_x,county_x,tract_x,total_25_col_phd_23,tot_units_built_23,units_40_49_built_23,units_39_early_built_23,ohu_23,rhu_23,mmhcosts_23,iinc_23,B19001_001E_y,I_10000_23,I_15000_23,I_20000_23,I_25000_23,I_30000_23,I_35000_23,I_40000_23,I_45000_23,I_50000_23,I_60000_23,I_75000_23,I_100000_23,I_125000_23,I_150000_23,I_200000_23,I_201000_23,mov_wc_w_income_23,mov_wc_9000_23,mov_wc_15000_23,mov_wc_25000_23,mov_wc_35000_23,mov_wc_50000_23,mov_wc_65000_23,mov_wc_75000_23,mov_wc_76000_more_23,mov_oc_w_income_23,mov_oc_9000_23,mov_oc_15000_23,mov_oc_25000_23,mov_oc_35000_23,mov_oc_50000_23,mov_oc_65000_23,mov_oc_75000_23,mov_oc_76000_more_23,mov_os_w_income_23,mov_os_9000_23,mov_os_15000_23,mov_os_25000_23,mov_os_35000_23,mov_os_50000_23,mov_os_65000_23,mov_os_75000_23,mov_os_76000_more_23,mov_fa_w_income_23,mov_fa_9000_23,mov_fa_15000_23,mov_fa_25000_23,mov_fa_35000_23,mov_fa_50000_23,mov_fa_65000_23,mov_fa_75000_23,mov_fa_76000_more_23,FIPS,mhval_19,mhval_19_se,mrent_19,mrent_19_se,mov_wc_w_income_19,mov_wc_9000_19,mov_wc_15000_19,mov_wc_25000_19,mov_wc_35000_19,mov_wc_50000_19,mov_wc_65000_19,mov_wc_75000_19,state_y,county_y,tract_y,mov_wc_76000_more_19,mov_oc_w_income_19,mov_oc_9000_19,mov_oc_15000_19,mov_oc_25000_19,mov_oc_35000_19,mov_oc_50000_19,mov_oc_65000_19,mov_oc_75000_19,mov_oc_76000_more_19,mov_os_w_income_19,mov_os_9000_19,mov_os_15000_19,mov_os_25000_19,mov_os_35000_19,mov_os_50000_19,mov_os_65000_19,mov_os_75000_19,mov_os_76000_more_19,mov_fa_w_income_19,mov_fa_9000_19,mov_fa_15000_19,mov_fa_25000_19,mov_fa_35000_19,mov_fa_50000_19,mov_fa_65000_19,mov_fa_75000_19,mov_fa_76000_more_19,iinc_19
2942,763,1153,161845,1392900,292645,2615,300,2293,562,629,69,06,085,505402,44,1198,76,21,696,457,2401,62036,1153,60,21,16,20,0,13,95,18,10,24,37,93,129,25,114,478,206,26,5,65,25,0,8,0,77,0,0,0,0,0,0,0,0,0,134,0,0,0,6,100,0,0,28,110,6,0,0,9,0,7,0,88,06085505402,893300,79837,2220,339,207,29,6,60,0,13,13,0,06,085,505402,86,22,0,0,0,10,0,0,0,12,59,0,0,0,0,0,8,0,51,46,0,0,0,0,0,0,0,46,50304
8568,1643,3726,172679,1174500,136458,2998,172,6172,2050,1841,95,06,085,505403,468,3934,0,22,840,2886,3070,103883,3726,235,20,71,16,0,77,9,154,6,0,155,240,311,166,639,1627,1183,184,13,129,21,11,0,15,810,264,0,0,7,20,59,14,0,164,245,0,0,19,0,74,27,0,125,129,27,0,18,0,0,0,0,84,06085505403,1081200,75091,2712,155,620,72,28,18,61,56,87,66,06,085,505403,232,165,20,18,44,0,0,20,0,63,345,0,0,48,43,56,40,19,139,27,0,0,0,0,0,27,0,0,60424
4621,1922,1645,150282,1578600,162839,2473,376,3212,1139,361,82,06,085,505500,115,1760,222,28,856,789,2428,58017,1645,66,9,16,64,30,9,10,22,12,57,169,122,130,103,287,539,404,122,14,25,29,22,0,5,187,31,0,0,0,0,0,0,0,31,168,0,0,44,0,0,8,0,116,21,0,15,0,0,0,0,0,6,06085505500,1064200,51777,2010,164,289,16,0,26,35,37,58,12,06,085,505500,105,88,9,0,19,20,13,0,0,27,39,0,0,14,3,0,11,0,11,10,0,0,0,0,0,10,0,0,50560
4666,2310,1380,117269,1460300,156202,2266,244,2454,665,529,33,06,085,505600,200,1513,91,371,404,976,2553,26133,1380,53,58,31,43,41,63,0,7,67,45,51,137,118,150,119,397,578,126,134,94,45,18,20,44,97,303,136,35,28,32,0,24,0,48,252,175,20,12,0,18,9,0,18,140,45,48,11,0,0,0,0,36,06085505600,1021300,76032,1806,237,527,233,58,62,40,32,15,4,06,085,505600,83,298,224,6,28,30,0,0,0,10,403,314,28,26,0,0,11,0,24,45,30,0,0,0,7,8,0,0,13544
5368,1799,2463,118203,1439300,276334,2472,224,3917,1222,945,33,06,085,505700,55,2676,319,558,724,1739,2600,71869,2463,103,0,188,31,16,55,26,65,32,122,140,343,210,288,271,573,624,42,91,0,0,33,0,0,458,125,4,24,38,0,0,0,9,50,285,149,0,9,0,20,0,0,107,200,19,0,0,0,0,0,168,13,06085505700,1071400,150026,1876,96,778,413,61,47,34,0,97,17,06,085,505700,109,311,97,54,10,0,19,11,16,104,248,27,0,31,0,0,0,25,165,94,59,0,0,15,20,0,0,0,42892
3851,1827,1590,147955,1429400,85219,2717,312,2986,1066,512,93,06,085,505800,107,1716,465,52,1070,520,3079,81122,1590,38,25,0,14,40,10,18,76,14,34,171,119,162,83,102,684,218,43,16,0,0,0,0,33,126,10,0,0,0,0,4,3,0,3,15,0,0,0,0,0,0,0,15,14,0,0,1,0,0,0,0,13,06085505800,1008900,66505,2336,212,220,0,0,2,65,15,29,53,06,085,505800,56,43,13,0,7,7,0,0,0,16,25,0,0,18,0,0,0,0,7,35,2,0,0,0,8,25,0,0,62905
4905,1923,1804,191783,1466100,138808,3162,114,3737,1219,826,110,06,085,506000,227,1919,261,24,1191,613,3339,83750,1804,12,6,37,80,0,22,8,33,35,6,53,176,74,184,242,836,286,27,0,0,0,11,28,18,202,82,0,10,17,0,9,0,29,17,141,0,0,14,0,0,42,0,85,143,29,0,20,0,77,0,17,0,06085506000,979100,52335,2597,169,293,78,11,21,10,34,9,29,06,085,506000,101,124,18,0,23,28,17,0,14,24,36,10,0,0,0,0,0,0,26,104,47,12,15,0,0,0,0,30,56538
4707,1740,1512,169167,2000001,-333333333,2498,1276,3415,1094,618,91,06,085,506101,260,1670,22,11,957,555,3113,67730,1512,13,14,18,10,48,31,0,0,51,47,124,86,83,173,106,708,268,13,11,0,0,76,21,6,141,101,52,0,0,0,0,0,0,49,14,0,0,0,0,0,0,0,14,61,12,0,16,0,8,0,0,25,06085506101,1239800,89805,2275,209,294,28,0,59,27,11,7,9,06,085,506101,153,72,7,0,0,28,0,28,0,9,43,0,0,0,0,0,30,0,13,56,0,0,0,14,0,0,0,42,57994
4502,1432,1802,182424,1628200,189775,3501,-333333333,3500,1245,989,120,06,085,506102,171,1880,26,16,979,823,3318,87656,1802,52,0,0,12,0,0,4,20,0,71,93,232,153,83,295,787,275,28,9,0,27,4,28,7,172,105,33,0,0,0,0,0,0,72,129,0,0,59,0,19,0,0,51,81,0,0,0,0,0,0,0,81,06085506102,1103600,72268,2711,118,408,44,9,0,32,39,13,0,06,085,506102,271,77,0,0,0,0,0,0,0,77,194,11,0,10,9,10,14,30,110,36,8,0,9,11,0,0,0,8,73526
5217,1236,1735,222014,2000001,-333333333,3200,613,3700,1104,1064,115,06,085,506103,441,1735,8,8,1162,573,3744,85536,1735,61,14,30,8,65,21,0,29,0,15,37,98,125,50,257,925,376,27,0,6,34,0,6,9,294,66,10,0,0,8,0,10,14,24,44,0,13,7,0,0,0,0,24,100,34,0,0,11,8,21,6,20,06085506103,1417200,125155,2428,145,125,7,0,0,0,0,40,0,06,085,506103,78,105,6,11,0,0,10,20,0,58,53,0,26,0,0,0,12,0,15,72,37,12,0,11,0,0,0,12,61290
