agency_name,stop_name,number_of_routes_served,route_id(s)_served,route_type,number_of_arrivals,number_of_hours_in_service,x,y,route_type_defined,geometry,county_name,total_arrivals,hqta_type,SB79_tier,route_type_defined	
Santa Clara Valley Transportation Authority,Capitol Station (Bay 5),1,201,3,1,1,-121.861225,37.2742650000001,Bus,POINT (-121.861225 37.2742650000001),Santa Clara,2,,,
Santa Clara Valley Transportation Authority,Creekside & Hamilton,1,202,3,1,1,-121.935679,37.293818,Bus,POINT (-121.935679 37.293818),Santa Clara,2,,,
Santa Clara Valley Transportation Authority,Virginia & Virginia Stn,1,201,3,1,1,-121.890252,37.3199510000001,Bus,POINT (-121.890252 37.3199510000001),Santa Clara,2,,,
Santa Clara Valley Transportation Authority,Stokes & Southwest,1,202,3,1,1,-121.928437,37.3015570000001,Bus,POINT (-121.928437 37.3015570000001),Santa Clara,2,,,
Santa Clara Valley Transportation Authority,Prospect & Saratoga,1,Express 101,3,2,2,-121.993595001,37.291838999,Bus,POINT (-121.993595001 37.291838999),Santa Clara,200,,,
Santa Clara Valley Transportation Authority,Vallco Pkwy & Perimeter,1,Express 101,3,2,2,-122.011266,37.3257070000001,Bus,POINT (-122.011266 37.3257070000001),Santa Clara,8,,,
Santa Clara Valley Transportation Authority,1st & Bonaventura,1,203,3,2,2,-121.929398,37.388515,Bus,POINT (-121.929398 37.388515),Santa Clara,4,,,
Santa Clara Valley Transportation Authority,1st & Component,1,203,3,2,2,-121.925477,37.3832820000001,Bus,POINT (-121.925477 37.3832820000001),Santa Clara,4,,,
Santa Clara Valley Transportation Authority,Capitol & Trade Zone,1,203,3,2,2,-121.881819999,37.402929,Bus,POINT (-121.881819999 37.402929),Santa Clara,4,,,
Santa Clara Valley Transportation Authority,1st & Karina,1,203,3,2,2,-121.920013,37.3759430010001,Bus,POINT (-121.920013 37.3759430010001),Santa Clara,4,,,
Santa Clara Valley Transportation Authority,Tasman & Alder,1,203,3,2,2,-121.916086,37.414069,Bus,POINT (-121.916086 37.414069),Santa Clara,12,,,
Santa Clara Valley Transportation Authority,Capitol & Longford,1,203,3,2,2,-121.869993001,37.395154,Bus,POINT (-121.869993001 37.395154),Santa Clara,4,,,
Santa Clara Valley Transportation Authority,Lawrence & Moorpark,1,Express 101,3,2,2,-121.995686,37.310049,Bus,POINT (-121.995686 37.310049),Santa Clara,4,,,
Santa Clara Valley Transportation Authority,Lawrence & Bollinger,1,Express 101,3,2,2,-121.996301,37.309336,Bus,POINT (-121.996301 37.309336),Santa Clara,4,,,
Santa Clara Valley Transportation Authority,Hamilton & Sagemont,1,Express 101,3,2,2,-121.986051,37.291007,Bus,POINT (-121.986051 37.291007),Santa Clara,74,,,
Santa Clara Valley Transportation Authority,Penitencia Creek Station (Bay 2),1,203,3,2,2,-121.8546,37.382389,Bus,POINT (-121.8546 37.382389),Santa Clara,4,,,
Santa Clara Valley Transportation Authority,Dry Creek & Cottle,1,School 256,3,2,1,-121.898015,37.292653999,Bus,POINT (-121.898015 37.292653999),Santa Clara,4,,,
Santa Clara Valley Transportation Authority,1st & Gish,1,203,3,2,2,-121.909253999,37.3615990000001,Bus,POINT (-121.909253999 37.3615990000001),Santa Clara,4,,,
Santa Clara Valley Transportation Authority,Morgan Hill Caltrain,1,Express 121,3,3,3,-121.650182,37.1301350000001,Bus,POINT (-121.650182 37.1301350000001),Santa Clara,12,,,
Santa Clara Valley Transportation Authority,Lawrence & Tasman,1,Express 121,3,3,3,-121.995743001,37.4044620000001,Bus,POINT (-121.995743001 37.4044620000001),Santa Clara,68,,,
Santa Clara Valley Transportation Authority,Crossman & Java,1,Express 121,3,3,3,-122.010489,37.410405,Bus,POINT (-122.010489 37.410405),Santa Clara,20,,,
Santa Clara Valley Transportation Authority,Tasman & Calle Del Sol,1,200,3,3,3,-121.963269,37.407919,Bus,POINT (-121.963269 37.407919),Santa Clara,6,,,
Santa Clara Valley Transportation Authority,Tasman & Vienna,1,200,3,3,3,-122.000029,37.403492,Bus,POINT (-122.000029 37.403492),Santa Clara,6,,,
Santa Clara Valley Transportation Authority,Java & Geneva,1,ACE Red,3,4,4,-122.013574,37.4105400010001,Bus,POINT (-122.013574 37.4105400010001),Santa Clara,8,,,
Santa Clara Valley Transportation Authority,Holger & Headquarters,1,ACE Violet,3,4,4,-121.948469,37.4189620000001,Bus,POINT (-121.948469 37.4189620000001),Santa Clara,16,,,
Santa Clara Valley Transportation Authority,Holger & Zanker,1,ACE Violet,3,4,4,-121.941252001,37.4190370000001,Bus,POINT (-121.941252001 37.4190370000001),Santa Clara,16,,,
Santa Clara Valley Transportation Authority,Tasman & Zanker,1,ACE Purple,3,4,4,-121.936481,37.412451,Bus,POINT (-121.936481 37.412451),Santa Clara,16,,,
Santa Clara Valley Transportation Authority,Tasman & Morgridge,1,ACE Purple,3,4,4,-121.931708,37.413196,Bus,POINT (-121.931708 37.413196),Santa Clara,16,,,
Santa Clara Valley Transportation Authority,McCarthy & Technology,1,ACE Purple,3,4,4,-121.921546,37.419949,Bus,POINT (-121.921546 37.419949),Santa Clara,8,,,
Santa Clara Valley Transportation Authority,Main & Calaveras,1,Express 104,3,4,3,-121.907048,37.4313060000001,Bus,POINT (-121.907048 37.4313060000001),Santa Clara,8,,,
Santa Clara Valley Transportation Authority,Tasman & Cisco,1,ACE Purple,3,4,4,-121.928329,37.4125990000001,Bus,POINT (-121.928329 37.4125990000001),Santa Clara,20,,,
Santa Clara Valley Transportation Authority,Camden & Highway 85,1,Express 101,3,4,4,-121.909843999,37.249553,Bus,POINT (-121.909843999 37.249553),Santa Clara,8,,,
Santa Clara Valley Transportation Authority,Kifer & Copper,1,ACE Gray,3,4,3,-121.991411,37.3739100000001,Bus,POINT (-121.991411 37.3739100000001),Santa Clara,16,,,
Santa Clara Valley Transportation Authority,Kifer & Calabazas,1,ACE Gray,3,4,4,-121.984928,37.373976,Bus,POINT (-121.984928 37.373976),Santa Clara,8,,,
Santa Clara Valley Transportation Authority,Santa Trinita & Kern,1,ACE Gray,3,4,4,-122.000515,37.3816110000001,Bus,POINT (-122.000515 37.3816110000001),Santa Clara,20,,,
Santa Clara Valley Transportation Authority,Stewart & De Guigne,1,ACE Gray,3,4,4,-122.004942,37.383986,Bus,POINT (-122.004942 37.383986),Santa Clara,20,,,
Santa Clara Valley Transportation Authority,De Guigne & Stewart,1,ACE Gray,3,4,4,-122.007263001,37.3836480000001,Bus,POINT (-122.007263001 37.3836480000001),Santa Clara,20,,,
Santa Clara Valley Transportation Authority,Wolfe & Arques,1,ACE Gray,3,4,4,-122.012245,37.3804650000001,Bus,POINT (-122.012245 37.3804650000001),Santa Clara,20,,,
Santa Clara Valley Transportation Authority,Kifer & San Lazaro,1,ACE Gray,3,4,3,-122.012245999,37.374854,Bus,POINT (-122.012245999 37.374854),Santa Clara,8,,,
Santa Clara Valley Transportation Authority,Kifer & Commercial,1,ACE Gray,3,4,3,-122.008902,37.374127001,Bus,POINT (-122.008902 37.374127001),Santa Clara,16,,,
Santa Clara Valley Transportation Authority,Kifer & Intuitive,1,ACE Gray,3,4,3,-122.001924,37.3738020000001,Bus,POINT (-122.001924 37.3738020000001),Santa Clara,8,,,
Santa Clara Valley Transportation Authority,Great America & Mission College,1,ACE Yellow,3,4,4,-121.976926,37.3935310000001,Bus,POINT (-121.976926 37.3935310000001),Santa Clara,188,,,
Santa Clara Valley Transportation Authority,Patrick Henry & Old Ironsides,1,ACE Green,3,4,4,-121.980296001,37.3960210000001,Bus,POINT (-121.980296001 37.3960210000001),Santa Clara,8,,,
Santa Clara Valley Transportation Authority,Patrick Henry & Curve,1,ACE Green,3,4,4,-121.984821001,37.3971330000001,Bus,POINT (-121.984821001 37.3971330000001),Santa Clara,16,,,
Santa Clara Valley Transportation Authority,Patrick Henry Drive (4750),1,ACE Green,3,4,4,-121.984937,37.3995400000001,Bus,POINT (-121.984937 37.3995400000001),Santa Clara,16,,,
Santa Clara Valley Transportation Authority,Patrick Henry & Democracy,1,ACE Green,3,4,4,-121.984774,37.4019500000001,Bus,POINT (-121.984774 37.4019500000001),Santa Clara,16,,,
Santa Clara Valley Transportation Authority,Patrick Henry & Bunker Hill,1,ACE Green,3,4,4,-121.984178,37.4061,Bus,POINT (-121.984178 37.4061),Santa Clara,94,,,
Santa Clara Valley Transportation Authority,Old Mountain View-Alviso & Patrick Henry,1,ACE Green,3,4,4,-121.984353001,37.410629,Bus,POINT (-121.984353001 37.410629),Santa Clara,8,,,
Santa Clara Valley Transportation Authority,Old Mountain View-Alviso & Betsy Ross,1,ACE Green,3,4,4,-121.981561,37.4105049990001,Bus,POINT (-121.981561 37.4105049990001),Santa Clara,16,,,
Santa Clara Valley Transportation Authority,Patrick Henry & Old Mountain View-Alviso,1,ACE Green,3,4,4,-121.984903,37.410083,Bus,POINT (-121.984903 37.410083),Santa Clara,24,,,
Santa Clara Valley Transportation Authority,Kifer & Oakmead Village,1,ACE Gray,3,4,3,-121.984292,37.3741670000001,Bus,POINT (-121.984292 37.3741670000001),Santa Clara,8,,,
